Mal_id,Title,Title English,Title Japanese,Type,Source,Episodes,Status,Airing,Aired From,Aired To,Score,Rank,Popularity,Members,Favorites,Synopsis,Studios,Genres,Themes
33897,Utsukushii Chikyuu wo Yogosanai de,Cry for Our Beautiful World,美しい地球をよごさないで,OVA,Picture book,1.0,Finished Airing,False,1995-03-24,,,15105.0,20026,279,0,Nana is a 3rd grader who finds a strange picture book. She's able to jump into the book and be friends with the girl in it as they traveled around the work. She learns about the innocent cries of children all around the world suffering from pollution. The video has some live action segements.,,Drama,
33898,Torikaekko Please,,とりかえっこプリーズ,Music,Original,1.0,Finished Airing,False,1998-02-10,,4.43,,11227,2430,6,Official music video for Suzukisan's Torikaekko Please song. The song and characters had been used to promote the Pokémon franchise. Nintendo has revived the song for the 20th anniversary campaign.,,,Music
33899,IDOLiSH7,IDOLiSH7,アイドリッシュセブン,TV,Game,17.0,Finished Airing,False,2018-01-07,2018-05-19,7.69,1330.0,2648,74896,1467,"On her first day of work at her father's small production agency, Tsumugi Takanashi was not expecting to be made the manager of the agency's new male idol group. Though shocked that her father is trusting her with such a major project so soon, Tsumugi vows to do everything she can to support the seven young boys. After seeing how well the boys work as a team, Tsumugi meets with her father and learns that her first job as manager will be to cut four boys from the group. This is because her father believes seven idols are too much to manage, and the current top group, TRIGGER, only has three members.

After holding an impromptu audition, Tsumugi returns to her father and boldly declares that she refuses to cut anyone from the group, as each member has a unique allure which collectively enhances the group's appeal. She returns to the boys and they are thrilled that none of them will get to miss out on their dreams. Together they become IDOLiSH7, and prepare to take on the fiercely competitive world of idols.

[Written by MAL Rewrite]",TROYCA,Drama,"Idols (Male), Music"
33902,Suntory Minami Alps no Tennensui,,サントリー 南アルプスの天然水,CM,Original,3.0,Finished Airing,False,2016-08-09,2016-08-20,5.91,,5692,15238,23,"Collaboration commercials with Suntory and Kimi no Na wa..

The ""Mitsuha no Omoi"" (Mitsuha's Thoughts) commercial shows the character Mitsuha Miyamizu drinking SUNTORY Minami Alps Tennensui Yogurina, which is yogurt-flavored mineral water.

The ""Taki no Omoi"" (Taki's Thoughts) commercial shows the character Taki Tachibana drinking SUNTORY Minami Alps Ten'nensui, which is mineral water. 

The ""Kasanaru Omoi"" (Overlap Thoughts) commercial shows both Taki and Mitsuha combining their thoughts through mixed dialogue with some alternative footage and a new song.

(Source: ANN)",CoMix Wave Films,Slice of Life,
33903,All-Free kono Natsu Ichioshi Monogatari Campaign Kokuchi Douga,,オールフリー　この夏イチオシ物語キャンペーン告知動画,CM,Original,12.0,Finished Airing,False,2016-06-21,2016-07-12,5.79,,11190,2455,3,A collaboration between Suntory's All-Free a zero-alcohol/zero-calorie/zero-carb beverage tasting like beer and Osomatsu-san.,,Slice of Life,
33904,Suntory Tennensui CMs,,サントリー天然水CMs,CM,Original,17.0,Finished Airing,False,2013-01-01,2020-03-24,5.11,,12863,1452,0,Suntory commercials set in the alps.,,Slice of Life,
33905,Hatsune Miku: Hiyashite Narasou Okashi no Ii Oto,,初音ミク　冷やして鳴らそうお菓子のいい音,CM,Original,1.0,Finished Airing,False,2016-05-31,,6.01,,10572,2942,6,Hatsune Miku teaches viewers how to eat Pocky in summer.,Composition Inc.,,Music
33906,Shangri-La (Music),,シャングリラ,Music,Original,1.0,Finished Airing,False,2011-10-05,,4.83,,18403,384,0,"A music video for the Wienners' song ""Shangri-La.""",,,Music
33907,Magical Music Train,,「Magical Music Train 」,Music,Original,1.0,Finished Airing,False,2009-08-06,,4.73,,17411,459,0,"A music video for Rag Fair's song ""Magical Music Train.""",,,Music
33908,Yasoukyoku,,夜想曲,Music,Original,1.0,Finished Airing,False,2011-01-04,,5.59,,18214,400,0,"A music video for Tamaki's song ""Yasoukyoku.""",,,Music
